Fichier, Temps Naif, Temps Welzl
test-1205.points, 39874, 383
test-1206.points, 49582, 423
test-1207.points, 32100, 179
test-1208.points, 50616, 170
test-1209.points, 49428, 454
test-121.points, 34466, 223
test-1210.points, 47897, 377
test-1211.points, 49917, 569
test-1212.points, 46931, 179
test-1213.points, 38833, 249
test-1214.points, 42683, 283
test-1215.points, 41882, 423
test-1216.points, 53943, 167
test-1217.points, 48612, 537
test-1218.points, 40393, 330
test-1219.points, 53397, 241
test-122.points, 44411, 594
test-1220.points, 37928, 311
test-1221.points, 34469, 238
test-1222.points, 41834, 200
test-1223.points, 59877, 323
test-1224.points, 31585, 350
test-1225.points, 56665, 498
test-1226.points, 48455, 190
test-1227.points, 38928, 364
test-1228.points, 46524, 188
test-1229.points, 53385, 500
test-123.points, 46304, 425
test-1230.points, 46072, 261
test-1231.points, 38839, 272
test-1232.points, 44062, 228
test-1233.points, 55241, 495
test-1234.points, 41414, 574
test-1235.points, 42730, 274
test-1236.points, 52420, 185
test-1237.points, 50257, 408
test-1238.points, 41067, 309
test-1239.points, 41259, 163
test-124.points, 29171, 384
test-1240.points, 57092, 279
test-1241.points, 38753, 338
test-1242.points, 39583, 165
test-1243.points, 98, 124
test-1244.points, 46260, 153
test-1245.points, 36746, 666
test-1246.points, 38925, 252
test-1247.points, 51984, 360
test-1248.points, 52796, 400
test-1249.points, 43261, 455
test-125.points, 54828, 356
test-1250.points, 33681, 662
test-1251.points, 34571, 347
test-1252.points, 45133, 315
test-1253.points, 63150, 318
test-1254.points, 49031, 430
test-1255.points, 41316, 303
test-1256.points, 38488, 350
test-1257.points, 50988, 306
test-1258.points, 47508, 234
test-1259.points, 47646, 166
test-126.points, 34066, 828
test-1260.points, 38786, 241
test-1261.points, 39270, 190
test-1262.points, 47876, 322
test-1263.points, 38543, 330
test-1264.points, 35170, 346
test-1265.points, 55445, 245
test-1266.points, 54591, 536
test-1267.points, 55664, 576
test-1268.points, 51351, 279
test-1269.points, 38446, 234
test-127.points, 40495, 500
test-1270.points, 44629, 1999
test-1271.points, 52160, 312
test-1272.points, 49004, 143
test-1273.points, 42426, 133
test-1274.points, 55113, 304
test-1275.points, 38163, 151
test-1276.points, 41498, 379
test-1277.points, 52520, 238
test-1278.points, 51627, 453
test-1279.points, 31618, 338
test-128.points, 39106, 369
test-1280.points, 43269, 460
test-1281.points, 63887, 927
test-1282.points, 35170, 495
test-1283.points, 39217, 185
test-1284.points, 53341, 260
test-1285.points, 46014, 323
test-1286.points, 38530, 351
test-1287.points, 34184, 235
test-1288.points, 53355, 377
test-1289.points, 47824, 550
test-129.points, 45194, 580
test-1290.points, 46771, 262
test-1291.points, 46655, 177
test-1292.points, 34421, 199
test-1293.points, 48218, 309
test-1294.points, 47785, 476
test-1295.points, 39349, 518
test-1296.points, 33101, 500
test-1297.points, 45968, 200
test-1298.points, 42647, 139
test-1299.points, 49889, 211
test-13.points, 52698, 429
test-130.points, 35062, 247
test-1300.points, 44555, 448
test-1301.points, 51797, 186
test-1302.points, 50518, 320
test-1303.points, 35551, 241
test-1304.points, 37360, 311
test-1305.points, 43195, 239
test-1306.points, 41014, 341
test-1307.points, 43561, 378
test-1308.points, 46335, 432
test-1309.points, 37408, 470
test-131.points, 33736, 296
test-1310.points, 45448, 195
test-1311.points, 59347, 159
test-1312.points, 36151, 282
test-1313.points, 46806, 351
test-1314.points, 54055, 370
test-1315.points, 36552, 365
test-1316.points, 48402, 341
test-1317.points, 45941, 227
test-1318.points, 51883, 331
test-1319.points, 40947, 234
test-132.points, 44388, 450
test-1320.points, 36321, 230
test-1321.points, 46459, 361
test-1322.points, 40401, 265
test-1323.points, 38490, 359
test-1324.points, 43176, 454
test-1325.points, 14, 161
test-1326.points, 47852, 292
test-1327.points, 34800, 254
test-1328.points, 54029, 381
test-1329.points, 48098, 395
test-133.points, 38237, 428
test-1330.points, 48649, 436
test-1331.points, 45171, 198
test-1332.points, 51298, 199
test-1333.points, 53601, 289
test-1334.points, 45015, 286
test-1335.points, 32838, 95
test-1336.points, 52983, 367
test-1337.points, 36844, 319
test-1338.points, 30450, 396
test-1339.points, 37377, 459
test-134.points, 45624, 189
test-1340.points, 33538, 342
test-1341.points, 47072, 392
test-1342.points, 42359, 301
test-1343.points, 34351, 243
test-1344.points, 33852, 192
test-1345.points, 37007, 612
test-1346.points, 47862, 312
test-1347.points, 42252, 272
test-1348.points, 39959, 255
test-1349.points, 52906, 242
test-135.points, 32518, 310
test-1350.points, 38239, 368
test-1351.points, 34380, 209
test-1352.points, 36240, 216
test-1353.points, 47337, 208
test-1354.points, 40174, 391
test-1355.points, 48749, 210
test-1356.points, 40041, 295
test-1357.points, 46902, 492
test-1358.points, 48864, 317
test-1359.points, 48235, 354
test-136.points, 51598, 305
test-1360.points, 31236, 344
test-1361.points, 51552, 306
test-1362.points, 38267, 73
test-1363.points, 44946, 146
test-1364.points, 51084, 321
